First Name,Second Name,Company,Position,Description,Tags
Rashmi,Misra,Microsoft,GM IoT & AI Solutions,"Dr Rashmi Misra is General Manager of IOT & AI Solutions, in the Partner Device Solutions organisation of Microsoft.
Working closely with ecosystem partners, Rashmi is responsible for proving forefront solutions combining IoT, AI and Edge as well as other emergent technologies at Microsoft.
Rashmi has been at the forefront of telecoms and IP media for over 20 years, managing network applications, cloud, media, IoT and M2M businesses for HPE during the last 6 years, where most recently she was the Head of AI Solutions for High Performance Compute solutions.
Rashmi previously led Motorola's worldwide System Integration portfolio and was instrumental in deploying some of the first expert and AI systems in 2G, 3G and 4G networks. She owns six international patents for intelligent optimization, automated network health and monetisation of traffic on telecom networks.
Rashmi has a doctorate in Artificial Intelligence on Multi-Agent Reasoning Systems, from Exeter University, UK and an MBA from Warwick University, UK.",The Fourth Industrial Revolution
Susanne,Birgersdotter,Milky Way Cap,Partner,"Susanne Birgersdotter, a Swedish self made serial entrepreneur in disruptive technology got her start 5 years ago when working from her kitchen table and using only online help, took it upon herself to create a math app to help her daughter practice her multiplication tables.

 

With the successful launch of her app, she has worked on other endeavors to become founder of iGotcha, SthlmAppLab, SBDM and a

partner in the VC company, Milky Way Cap.",Innovation
Mohamed,Dabbour,Millicom ,"Executive VP, Africa","Mohamed was appointed as Executive Vice President Africa for Millicom on February 1st 2017. In his role he is responsible for ensuring profitable growth and cash flow for Millicom Africa.

Mohamed joined Millicom in 2008 and has held a broad variety of roles in the Africa region, including Chief Financial Officer in Chad in 2009 and Chief Financial Officer in Ghana in 2011.

Most recently he was appointed Chief Financial Officer for the Africa region in August 2015.

Mohamed holds an Executive MBA degree from London Business School.",Tech in Society
Rachel,Samrén,Millicom,EVP Chief External Affairs Officer,,
Raul,Martinez,Millicom (Tigo),Chief Commercial Officer & VP Africa,"Raul was appointed as CCO for Millicom Africa in January 2017, combining his position with that of VP Strategy & Digital.
In his role, he is responsible for marketing, commercial and customer service activities in addition to strategic planning, digital/business development and mobile financial services. He works closely with Millicom Africa operations to develop, review and implement commercial strategies that drive revenue and profitable growth.

Raul joined Millicom in 2011 and has held several positions at Group level in Africa, Latin America and in Tigo El Salvador Operation.

Raul holds a Bachelor in Economics and Business from ESEN School of Business.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSApp/Software DevelopmentFuture Services Provider
Tahani,Attia,"Ministry of Communication and Information Technology, Sudan",Minister of Communications and Information Technology,,5GIoTThe Network
Aurelie,Adam-Soule,"Ministry of Digital Economy and Communication, Benin",Minister of Digital Economy and Communication,,Innovation
Álvaro,Belda,"Ministry of Energy, Tourism and Digital Agenda, Spain","Minister of Energy, Tourism and Digital Agenda",,
Álvaro,Belda,"Ministry of Industry, Energy and Mining, Uruguay","Minister of Industry, Energy and Mining",,Tech in Society
Andrés,Ibarra,"Ministry of Modernization, Argentina",Minister of Modernization,,
You,Min,"Ministry of Science, ICT & Future Planning, South Korea",Minister of Science and ICT,,Tech in Society
Santiago,Vélez,mobijob,CEO,,
Joe,Xia,Mobike,CTO,"Joe Xia, as the Co-Founder and CTO of Mobike, has created Mobike since Jan 2015. Mobike has created the new mode of implementation of bicycle sharing by the mobile Internet, successfully created the first largest commercial free pile bicycle sharing service platform of the world. By this kind of new sharing mode, Mobike hopes to contribute for easing city traffic congestion and reducing environmental pollution
Joe Xia graduated from Nanjing University of Posts and Telecommunications with the degree of professional communications engineering. In the same year, he began his Master of Science course in University of Essex, England, and studied telecommunications and information systems for two years.
Joe Xia is specialized and rich experienced in IOV technology field. He has ever served in IOV R&D department and led the research in Ford and Fiat Chrysler. He holds more than 20 utility model inventions, patents and software copyrights. Moreover, he is skillful in various category, including business development, communication technology, software development and verification, mobile application authentication, network design, product planning and route map, vehicle information system, patent, cloud service architecture, partner / channel management, marketing, mobile, information technology, consumer electronics, mobile applications, remote information processing, vehicle UI design.

Joe Xia has been elected as ""2017 global elite under Age-40 ""by the US Authoritative Magzine” Fortune”, and won the “Internet technology leader award “of 2017 global Internet technology conference and etc..",The Fourth Industrial Revolution
