Hallim (Hannin) Kerosine CC Power Plant South Korea,Republic of Korea,Please Select,33.23666846,126.3428593,105,Please Select,Please Select,"Hallim, Jeju-do, South Korea",Please Select,1997-07-00,Korea Electric and Power Company (KEPCO),,,,"Korea Southern Power Co., Ltd. (KOSPO)",,,http://www.kospo.co.kr/ENGLISH/introduction/currents_01.htm
Jeju Oil Thermal Power Plant South Korea,Republic of Korea,Operating Fully,33.53517057,126.5961456,285,Mix of Steam and Combustion Turbines,Base Load,"Jeju, South Korea",Regional Grid,2000-03-00,Korea Electric and Power Company (KEPCO),,,,Korea Midland Power Co KOMIPO (Subsidiary of KEPCO),,,http://www.komipo.co.kr/english/  (See annual and sustainability reports)  and  http://www.industcards.com/ic-south-korea.htm
Namjeju Oil Thermal Power Plant South Korea,Republic of Korea,Operating Fully,33.23664,126.34234,240,Sub-critical Steam Turbine,Intermediate Load,"Hallim, Jeju-do, South Korea",Please Select,2006-09-00,Korea Electric and Power Company (KEPCO),,,,"Korea Southern Power Co., Ltd. (KOSPO)",,,http://www.kospo.co.kr/ENGLISH/introduction/currents_01.htm
Pyeongtaek Oil Thermal Power Plant South Korea,Republic of Korea,Operating Fully,37.00406065,126.7945862,1400,Sub-critical Steam Turbine,Intermediate Load,"Pyeongtaek. Gyeonggi-do, South Korea",National Grid,1980-04-01,Korea Electric and Power Company (KEPCO),,,,"Korea Western Power Co., Ltd ",,,http://www.westernpower.co.kr/english/power/generation.asp  (also see annual reports)
Ulsan I Oil Thermal Power Plant South Korea,Republic of Korea,Operating Fully,35.47974,129.3822,300,Sub-critical Steam Turbine,Peaking Load and Backup,"1 Namhwa-dong, Nam-gu, Ulsan, Gyeongsangbuk-do, South Korea",National Grid,1970-12-00,Korea Electric and Power Company (KEPCO),,,,Korea East-West Power Corporation,,,http://www.ewp.co.kr/eng/index.asp
Ulsan II Oil Thermal Power Plant,Republic of Korea,Operating Fully,35.47541967,129.3812227,1200,Sub-critical Steam Turbine,Peaking Load and Backup,"Ulsan, Gyeongsangbuk-do, South Korea",National Grid,1979-12-00,Korea Electric and Power Company (KEPCO),,,,Korea East-West Power Corporation,,,http://www.ewp.co.kr/eng/index.asp
Yeosu (Yosu) Oil Thermal Power Plant South Korea,Republic of Korea,Please Select,34.83932639,127.6907873,528,Please Select,Please Select,"1300 Jungheung-dong, Yeosu-shi, Jeollanam-do, South Korea",Please Select,1975-03-31,Korea Electric and Power Company (KEPCO),,,,"Korea South East Power Co., Ltd (KOSEP)",,,http://www.kosep.co.kr/
Negotino Thermal Power Plant Macedonia,Republic of Macedonia,Decommissioned,41.49205,22.09354,210,Sub-critical Steam Turbine,Intermediate/Peak Load,"Negotino, Macedonia",National Grid,1978-00-00,,,,,,,,http://www.ero-ks.org/GIS/Final_Appendix_8.pdf
CET-1 CHP Power Plant Moldova,Republic of Moldova,Operating Fully,47.0261,28.8672,66,Sub-critical Steam Turbine,Please Select,"Chisinau, Republic of Moldova",National Grid,1951-09-02,Ministry of Industry and Infrastructure of the Republic of Moldova,,Government,,JSC CET-1,,,http://www.mii.gov.md/pageview.php?l=ro&idc=63
CET-2 CHP Power Plant Moldova,Republic of Moldova,Operating Fully,47.029,28.893,240,Sub-critical Steam Turbine,Base Load,"Chisinau, Republic of Moldova",National Grid,1976-12-31,Ministry of Industry and Infrastructure of the Republic of Moldova,,Government,,JSC CET-2,,,http://www.mii.gov.md/pageview.php?l=ro&idc=64
CET-Nord CHP Power Plant Moldova,Republic of Moldova,Operating Fully,47.7492,27.8938,28.5,Sub-critical Steam Turbine,Please Select,"Balti, Republic of Moldova",National Grid,,Ministry of Industry and Infrastructure of the Republic of Moldova,,Government,,JSC CET-Nord,,,http://www.mii.gov.md/pageview.php?l=ro&idc=66
Brazi (Dalkia Termo Prahova) Thermal CHPP Power Plant Romania,Romania,Operating Partially,44.8833,26.00888,610,Sub-critical Steam Turbine,Please Select,"Trandafirilor nr.71, 107084, Brazi, Romania",Please Select,1961-00-00,SC DALKIA TERMO PRAHOVA SRL,,,,SC DALKIA TERMO PRAHOVA SRL,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,,http://www.dalkia.ro/ro/despre-dalkia/filiale.html
Bucharest Grozavesti CHPP Power Station Romania,Romania,Operating Fully,44.4404,26.06333,100,Sub-critical Steam Turbine,Please Select,"Splaiul Independentei nr. 229, 77208, Bucharest, Romania",Please Select,1964-00-00,SC Electrocentrale Bucuresti SA,,,,SC Electrocentrale Bucuresti SA,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,,http://www.elcen.ro/
Bucharest South CHPP Power Station Romania,Romania,Operating Fully,44.4046,26.1523,550,Cogeneration Power and Heat Steam Turbine,Please Select,"Releului , nr. 2B, 74569, Bucharest, Romania",Please Select,1965-00-00,S.C. Electrocentrale Bucuresti S.A.,,Public joint-stock company,,S.C. Electrocentrale Bucuresti S.A.,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,,http://en.wikipedia.org/wiki/List_of_power_stations_in_Romania
CET Bucuresti West CHPP Romania,Romania,Operating Fully,44.4233,25.979,250,Sub-critical Steam Turbine,Please Select,"Bd. Timisoara nr. 106, 77208, Bucharest, Romania",Please Select,1975-00-00,SC ELECTROCENTRALE BUCURESTI SA,,,,SC ELECTROCENTRALE BUCURESTI SA,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,,http://www.elcen.ro/
CET Constanta CHPP Power Plant Romania,Romania,Operating Fully,44.1585,28.607,100,Sub-critical Steam Turbine,Please Select,"Bulevardul Aurel Vlaicu nr. 123, 900075, Constanta, Romania",Please Select,1970-00-00,SC ELECTROCENTRALE BUCURESTI SUC. CONSTANTA,,Public joint-stock company,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,SC ELECTROCENTRALE BUCURESTI SUC. CONSTANTA,,,http://www.elcen.ro/
Galati Thermal Power Station Romania,Romania,Operating Fully,45.436,27.9814,535,Sub-critical Steam Turbine,Please Select,"Soseaua Smardan nr. 3, 800700, Galati, Romania",Please Select,,Thermoelectrica S.A.,100,,,SC Electrocentrale Galati SA,AGENTIA NATIONALA PENTRU PROTECTIA MEDIULUI,,http://en.wikipedia.org/wiki/Gala%C5%A3i_Power_Station
Arkhangelsk CHP Power Plant Russia,Russian Federation,Operating Fully,64.5753,40.573,450,Cogeneration Power and Heat Steam Turbine,Base Load,"Arkhangelsk, Russia",Regional Grid,1970-09-00,LLC Kores Invest (owned by group Synthesis),44.84,,,OJSC TGK-2,,,http://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%A2%D0%AD%D0%A6
Severodvinsk CHPP-2 Power Plant Russia,Russian Federation,Operating Fully,64.56386,39.90647,410,Cogeneration Power and Heat Steam Turbine,Base Load,"Severodvinsk, Arkhangelsk, Russia",Regional Grid,1976-12-30,LLC Kores Invest (owned by group Synthesis),44.84,,,OJSC TGK-2,,,http://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%A2%D0%AD%D0%A6-2
Jabana Oil Power Plant Rwanda,Rwanda,Operating Fully,-1.890537,30.066253,7.8,Oil Engine,Base Load,"Kigali City, Rwanda",Regional Grid,2005-00-00,,,,Lahmeyer International,Electrogaz,,,http://www.industcards.com/ic-africa-central.htm
Qurayyah Thermal Power Plant Saudi Arabia,Saudi Arabia,Please Select,25.85918494,50.11782646,2500,Please Select,Please Select,"Eastern Province, Saudi Arabia",Please Select,1988-10-00,Saudi Electricity Company (SEC),,Government,MHI,Saudi Electricity Company (SEC),,,http://ecra.gov.sa/pdf/longtermgenerationplanningforsaudielectricitysectorstudy.pdf
Rabigh Thermal Power Plant Saudi Arabia,Saudi Arabia,Please Select,22.66154167,39.03217077,1572,Please Select,Please Select,"140 km N of Jeddah on Red Sea, Saudi Arabia",Please Select,1985-05-00,Saudi Electricity Company (SEC),,Government,,Saudi Electricity Company (SEC),,,http://ecra.gov.sa/pdf/longtermgenerationplanningforsaudielectricitysectorstudy.pdf
Riyadh PP5 Oil GT Power Plant Saudi Arabia,Saudi Arabia,Please Select,24.76097815,46.59228802,528,Please Select,Please Select,"Riyadh, Soudi Arabia",Please Select,1979-01-00,Saudi Electricity Company (SEC),,,,Saudi Electricity Company (SEC),,,http://www.se.com.sa/SEC/English/default.htm
Shaiba Desalination and Power Plant Saudi Arabia,Saudi Arabia,Operating Fully,20.6267,39.5551,5523,Sub-critical Steam Turbine,Base Load,"92 km SWS of Makkah on the Red Sea, Saudi Arabia",Regional Grid,2001-06-00,Saudi Electricity Company (SEC),,Government,Alstom Power Centrals,Saudi Electricity Company (SEC),,,http://ecra.gov.sa/pdf/longtermgenerationplanningforsaudielectricitysectorstudy.pdf
Sharourah Power Plant Saudi Arabia,Saudi Arabia,Please Select,17.479,47.095,,Please Select,Please Select,,Please Select,1988-00-00,Saudi Electricity Company (SEC),,Goveernment,,Saudi Electricity Company (SEC),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Novi Sad CHP Power Plant Serbia,Serbia,Operating Fully,45.2681,19.8849,230,Cogeneration Power and Heat Steam Turbine,Please Select,"Novi Sad, South Backa, Vojvodina, Serbia",National Grid,1981-00-00,Elektroprivreda Srbije (EPS),,Government,,Elektroprivreda Srbije (EPS),,,http://www.eps.rs/Eng/Article.aspx?lista=Sitemap&id=70
Sremska Mitrovica CHP Power Plant Serbia,Serbia,Operating Fully,44.9611,19.6543,45,Cogeneration Power and Heat Steam Turbine,Base Load,"Sremska Mitrovica, Srem, Serbia",National Grid,1963-00-00,Elektroprivreda Srbije (EPS),100,Government,,Elektroprivreda Srbije (EPS),,,http://www.eps.rs/Eng/Article.aspx?lista=Sitemap&id=70
Zrenjanin CHP Power Plant Serbia,Serbia,Operating Fully,45.3572,20.4158,120,Cogeneration Power and Heat Steam Turbine,Base Load,"Zrenjanin, Central Banat, Vojvodina, Serbia",National Grid,1989-00-00,Elektroprivreda Srbije (EPS),,Government,,Elektroprivreda Srbije (EPS),,,http://www.eps.rs/Eng/Article.aspx?lista=Sitemap&id=70
Kingtom Generating Station Sierra Leone,Sierra Leone,Operating Partially,8.4929,-13.2474,,Oil Engine,Base Load,"Kingtom, Greetown, Sierra Leone",Regional Grid,,,,,,,,,
PowerSeraya Pulau Seraya Oil Power Station Singapore,Singapore,Operating Fully,1.28,103.727,2250,Sub-critical Steam Turbine,Please Select,"Jurong Island, Singapore",National Grid,1988-00-00,YTL Power International Berhad (from Temasek Holdings (Private) Limited on 6 March 2009),,,,PowerSeraya,,,http://www.powerseraya.com/index.php?option=com_content&task=view&id=7&Itemid=29
Senoko Thermal Power Station Singapore,Singapore,Operating Partially,1.464,103.7976,500,Sub-critical Steam Turbine,Intermediate/Peak Load,"Senoko, Singapore",National Grid,1978-10-00,Marubeni Corporation Japan (majority share holder in to Lion Power Holdings),30,,Hitachi,Senoko Power,,,http://www.senokoenergy.com/plant.asp
Tuas Oil Power Station Singapore,Singapore,Operating Fully,1.289647387,103.6396551,1200,Sub-critical Steam Turbine,Base Load,"Tuas, Singapore",National Grid,1999-03-00,Huaneng Power International,,,,Tuas Power Generation Pte. Ltd.,,,http://www.tuaspower.com.sg/tuas.asp
Aceca Thermal Power Plant Spain,Spain,Operating Fully,39.941,-3.8569,629,Sub-critical Steam Turbine,Peaking Load,"Toledo Villaseca de la Sagra, Castile-La Mancha, Spain",National Grid,1969-00-00,Iberdrola Generation (Unit 1),50,,,GasNatural Fenosa and Iberdrola,,,
ACE Horana Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,6.7177,80.0598,24.8,Oil Engine,Please Select,"Horana, Kalutara, Sri Lanka",Please Select,2002-12-00,Aitken Spence & Co. Ltd,51,IPP,,Ace Power Generation Horana Limited,,,http://www.ceb.lk/PVT/Completed/COMPLETED%20PROJECTS-home_files/2%20X%2020%20MW%20%20Power%20Plants_writeup%20to%20CEB.htm
ACE Matara Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,5.9851,80.5636,24.8,Oil Engine,Please Select,5 km N of Matara near Matara�Hakmana highway,Please Select,2002-03-00,Aitken Spence & Co. Ltd,51,IPP,,Ace Power Generation Matara Limited,,,http://www.ceb.lk/PVT/Completed/COMPLETED%20PROJECTS-home_files/2%20X%2020%20MW%20%20Power%20Plants_writeup%20to%20CEB.htm
ACE Power Embilipitiya Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,6.3284,80.8458,100,Oil Engine,Please Select,"Embilipitiya, Ratnapura, Sri Lanka",Please Select,2005-03-00,Aitken Spence & Co. Ltd,,IPP,,Ace Power Embilipitiya Private Limited,,,http://www.ceb.lk/
Asia Power Sapugaskanda Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,6.957,79.948,51,Oil Engine,Please Select,"Sapugaskanda, Colombo, Sri Lanka",Please Select,1998-06-00,,,IPP  (BOO),Deutz UK (formally known as KHD (UK) Limited) and Burmeister & Wain Scandinavian Contractor (BWSC) of Denmark,Asia Power Private Limited,,,http://www.ceb.lk/PVT/Completed/51%20MW%20Power%20Plant%20by%20Asia%20Power%20Private%20Limited.htm
Colombo Port Oil Power Station Sri Lanka,Sri Lanka,Operating Fully,6.9534,79.8558,60,Oil Engine,Please Select,"Colombo Harbor, Sri Lanka",Please Select,2000-07-00,"Mitsui Engineering & Shipbuilding Co., Ltd. (MES)",50,IPP,"Mitsui Engineering & Shipbuilding Co Ltd (MES),  Burmeister & Wain Scandinavian Contractor A/S",Colombo Power Private Limited,,,http://www.ceb.lk/PVT/Completed/60%20MW%20Barge%20Mounted%20Power%20Plant%20by%20Colombo%20Power%20Private%20Limited.htm
Heladhanavi Puttalam Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,8.017,79.869,100,Oil Engine,Please Select,"Puttalam, Sri Lanka",Please Select,2004-10-00,Hemas Holdings PLC,,IPP,,Lakdhanavi Limited,,,http://www.hemas.com/index.php?action=corporate&sec=sipower&sel=5&sel2=32
Lakdhanavi Sapugaskanda Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,6.9611,79.95,22.5,Oil Engine,Please Select,"apugaskanda, Colombo, Sri Lanka",Please Select,1997-11-00,Lanka Transformers Limited,100,IPP,,Lakdhanavi Private Limited,,,http://www.ceb.lk/PVT/Completed/22%20MW%20Power%20Plant%20by%20Lakdhanavi%20Private%20Limited.htm
Sapugaskanda Oil Power Plant Sri Lanka,Sri Lanka,Operating Fully,6.961,79.961,160,Oil Engine,Please Select,"Sapugaskanda, Colombo, Sri Lanka",Please Select,1984-05-00,Ceylon Electricity Board (CEB),100,Government,,Ceylon Electricity Board (CEB),,,http://www.ceb.lk/
DIT Kilo X Diesel Power Plant Sudan,Sudan,Operating Fully,15.6482258,32.56304741,257,Oil Engine,Please Select,"North Khartoum, Sudan",Please Select,2004-00-00,DIT Kilo X of Malaysia,,IPP,Siemens of Germany and Cegielski of Poland,DIT Kilo X,,,http://www.diu.gov.sd/en/about_sudan.htm
Kassala Diesel Power Plant Sudan,Sudan,Operating Fully,15.45,36.4,11.4,Oil Engine,Please Select,"Kassala, Sudan",Please Select,1982-08-17,National Electricity Corporation of Sudan (NEC)  (The Ministry of Irrigation and Water Resources),100,Government,,National Electricity Corporation of Sudan (NEC),,,http://www.necsudan.com/en/pdf/kassala.pdf
Khartoum North (Al Shaheed) Power Plant Sudan,Sudan,Operating Fully,15.65,32.563,380,Sub-critical Steam Turbine,Please Select,"North Khartoum, Sudan",Please Select,1985-12-03,National Electricity Corporation of Sudan (NEC)  (The Ministry of Irrigation and Water Resources),100,Government,,National Electricity Corporation of Sudan (NEC),,,http://www.necsudan.com/data/pdf/alshheed.pdf  and  http://www.auptde.org/NewSite/UploadImages/News/121/339.pdf
Karlshamn (Starno) Thermal Power Station Sweden,Sweden,Operating Fully,56.1522,14.8325,1020,Sub-critical Steam Turbine,Peaking Load and Backup,"Starno Peninsula, Karlshamn, Blekinge, Sweden",National Grid,1969-00-00,E.ON Sverige,,,,E.ON Sverige,,,http://www.eon.se/  and  http://www.eon.se/templates/Eon2TextPage.aspx?id=47913&epslanguage=EN
Stenungsund Oil Power Plant Sweden,Sweden,Operating Partially,58.08628,11.843496,840,Sub-critical Steam Turbine,Peaking Load and Backup,"Stenungsund, Vastra Gotaland",National Grid,1959-00-00,Vattenfall AB,,Utility,,Vattenfall AB,,,https://www.nordpoolspot.com/globalassets/download-center/tso/generation-capacity_sweden_larger-than-100mw-per-unit_17122014.pdf
Al-Zara Thermal Power Plant Syria,Syrian Arab Republic,Operating Fully,34.959,36.661,660,Sub-critical Steam Turbine,Please Select,"West of Ar-Rastan, Hims, Syria",National Grid,2001-00-00,Public Establishment of Electricity for Generation and Transmission (PEEGT),100,Government,Mitsubishi Heavy Industries Ltd. Japan,Al-Zara Power Public,,Japan ODA,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  (Syria) and http://www.industcards.com/st-other-afr-me.htm
Aleppo Thermal Power Plant Syria,Syrian Arab Republic,Operating Fully,36.1763,37.437,1065,Sub-critical Steam Turbine,Please Select,"Jibrin, 25 km East of Aleppo, Aleppo, Syria",National Grid,1997-00-00,Public Establishment of Electricity for Generation and Transmission (PEEGT),100,Government,Mitsubishi Heavy Industries Ltd. Japan,Aleppo Power Public Corporation,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  (Syria)
Banias (Baniyas) Refinery Thermal Power Plant,Syrian Arab Republic,Operating Fully,35.2132,35.965,48,Sub-critical Steam Turbine,Please Select,"Baniyas Refinery, Tartus, Syria",National Grid,1988-00-00,Banias Refinery,,Government,,,,,http://www.brc-sy.net/english/index.html
Banias Thermal Power Plant Syria,Syrian Arab Republic,Operating Fully,35.1715,35.927,680,Sub-critical Steam Turbine,Please Select,"South of Banias, Tartus, Syria",National Grid,1981-00-00,Public Establishment of Electricity for Generation and Transmission (PEEGT),100,Government,,Banias Power Public Company,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  (Syria)
Homs Refinery Cogen Power Plant Syria,Syrian Arab Republic,Operating Fully,34.7184,36.63256,64,Cogeneration Power and Heat Steam Turbine,Please Select,"National Highway 1, 7km W of Homs, Syria",National Grid,1984-00-00,Homs Refinery,,,,,,,http://www.homsrefinery.com/en/
Mehardeh Thermal Power Plant Syria,Syrian Arab Republic,Operating Fully,35.263,36.585,630,Sub-critical Steam Turbine,Please Select,"NE of Muhradeh, Hama, Syria",National Grid,1979-00-00,Public Establishment of Electricity for Generation and Transmission (PEEGT),100,Government,,Mehardeh Public Power,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  (Syria)
Teshreen (Tishrin) Thermal Power Project Syria,Syrian Arab Republic,Operating Fully,33.4186,36.6861,400,Sub-critical Steam Turbine,Please Select,"36 km EES of Damascus, Syria",National Grid,1993-00-00,Public Establishment of Electricity for Generation and Transmission (PEEGT),100,Government,,Teshreen Power Public Corporation,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  (Syria)
