Word,Definition
frogs,The plural form of frog; more than one frog.
from,"When something is from someone, the person gave or sent it."
frost,"Frost is a cover of thin ice on things. Some of these are tree branches, plants, leaves, wires, poles, cars, rooftops, or windows. Frost is like dew, only frozen. Frost can be light or heavy."
frown,"A frown is a facial expression whereby the eyebrows are brought closer together and wrinkles form on the forehead. A frown usually happens when a person is unhappy, sad or worried, but can also be very focused on doing something."
frowned,The past tense and past participle of frown.
frowning,The present participle of frown.
froze,The past tense of freeze.
fruit,or  The fruit is the part of a plant or tree that holds the seeds. It's usually sweet and good to eat.
frustrate,"If you frustrate someone, then you make him annoyed or upset."
fry,"If you fry something, you cook it in a pan on a stove with hot oil."
fudge,Fudge is a kind of chocolate that usually comes in squares.
full,A container is full of things if there are many of the things in the container and no more can go in.
fullback,"fullback (plural fullbacks)
(American football) An offensive back whose primary jobs are to block in advance of the halfback on running plays and for the quarterback on passing plays.
(field hockey) A defensive player who assists the goalie in preventing the opposing team from scoring.
(soccer) Alternative form of full-back"
fumble,To touch something nervously.
fumbles,The third-person singular form of fumble.
fume,"A fume is a gas or a vapor that has a strong smell, or is dangerous to inhale."
fun,"If you have fun, you enjoy something."
fund,A fund is an amount of money kept for a specific purpose.
funny,Funny things keep people interested and can make people laugh.
fuse,A fuse is a length of cord that will burn and is used to set off explosives.
fuses,The plural form of fuse; more than one fuse.
fuss,"Too much activity, worry, bother, or talk about something."
fussy,"b'fussy (comparative fussier, superlative fussiest)\nAnxious or particular about petty details.1915,  George A. Birmingham,  \xe2\x80\x9cchapter I\xe2\x80\x9d, in  Gossamer (Project Gutenberg; EBook #24394), London: Methuen & Co., published 8 January 2013 (Project Gutenberg version), OCLC 558189256:It is never possible to settle down to the ordinary routine of life at sea until the screw begins to revolve. There is an hour or two, after the passengers have embarked, which is disquieting and fussy.\n1915,  George A. Birmingham,  \xe2\x80\x9cchapter I\xe2\x80\x9d, in  Gossamer (Project Gutenberg; EBook #24394), London: Methuen & Co., published 8 January 2013 (Project Gutenberg version), OCLC 558189256:It is never possible to settle down to the ordinary routine of life at sea until the screw begins to revolve. There is an hour or two, after the passengers have embarked, which is disquieting and fussy.\nHaving a tendency to fuss, cry, or be ill-tempered (especially of babies).'"
fuzz,"b'fuzz (countable and uncountable, plural fuzzes)\nA frizzy mass of hair or fibre.1895, Hamlin Garland, Rose of Dutcher\'s Coolly, page 352:His cheeks were like peaches, with much the same sort of fuzz over them.\n1895, Hamlin Garland, Rose of Dutcher\'s Coolly, page 352:His cheeks were like peaches, with much the same sort of fuzz over them.\nQuality of an image that is unclear; a blurred image.2010,  Iain Boyd Whyte,  Beyond the Finite: The Sublime in Art and Science, New York: Oxford University Press, ISBN 9780199737697:...scientific advances happen more often at the frontier of representation, at the edge of resolution where an image dissolves into fuzz and blur.\n2010,  Iain Boyd Whyte,  Beyond the Finite: The Sublime in Art and Science, New York: Oxford University Press, ISBN 9780199737697:...scientific advances happen more often at the frontier of representation, at the edge of resolution where an image dissolves into fuzz and blur.\n(computing) The random data used in fuzz testing.2008,  Asoke Talukder; Manish Chaitanya,  Architecting Secure Software Systems, Boca Raton: CRC Press, ISBN 9781420087840, page 94:""Fuzz testing"" or ""fuzzing"" is a technique for software testing that provides random data (""fuzz"") to the inputs of a program.\n2008,  Asoke Talukder; Manish Chaitanya,  Architecting Secure Software Systems, Boca Raton: CRC Press, ISBN 9781420087840, page 94:""Fuzz testing"" or ""fuzzing"" is a technique for software testing that provides random data (""fuzz"") to the inputs of a program.\nA distorted sound, especially from an electric guitar or other amplified instrument.1994,  R.A. Penfold,  Music Projects, Boston: New Tech, ISBN 0750621192, page 33:This gives a good soft clipping effect and a good fuzz sound.\n1994,  R.A. Penfold,  Music Projects, Boston: New Tech, ISBN 0750621192, page 33:This gives a good soft clipping effect and a good fuzz sound.\nA state of befuddlement.1784, Jonathan Swift, ""Journal to Stella"", The works of the Rev. Dr. Jonathan Swift, page 54:I think I\'m in a fuzz, and don\'t know what I \xc5\xbfay, I never \xc5\xbfaw the like.2016 February 10,  Ally,  \xe2\x80\x9cSigns of an Online Dating Scam\xe2\x80\x9d, in  Christie Hartman Ph.D.\xe2\x80\x8e[1], Comments:So I\'m in a fuzz of not knowing what to do\n1784, Jonathan Swift, ""Journal to Stella"", The works of the Rev. Dr. Jonathan Swift, page 54:I think I\'m in a fuzz, and don\'t know what I \xc5\xbfay, I never \xc5\xbfaw the like.\n2016 February 10,  Ally,  \xe2\x80\x9cSigns of an Online Dating Scam\xe2\x80\x9d, in  Christie Hartman Ph.D.\xe2\x80\x8e[1], Comments:So I\'m in a fuzz of not knowing what to do'"
gab,"gab (countable and uncountable, plural gabs)
Idle chatter.
The mouth or gob.
One of the open-forked ends of rods controlling reversing in early steam engines."
gag,"b'gag (plural gags)\nA device to restrain speech, such as a rag in the mouth secured with tape or a rubber ball threaded onto a cord or strap.\n(law) An order or rule forbidding discussion of a case or subject.\nA joke or other mischievous prank.2012 May 20,  Nathan Rabin,  \xe2\x80\x9cTV: Review: THE SIMPSONS (CLASSIC): \xe2\x80\x9cMarge Gets A Job\xe2\x80\x9d (season 4, episode 7; originally aired 11/05/1992)\xe2\x80\x9d, in  The Onion AV Club\xe2\x80\x8e[1]:We all know how genius \xe2\x80\x9cKamp Krusty,\xe2\x80\x9d \xe2\x80\x9cA Streetcar Named Marge,\xe2\x80\x9d \xe2\x80\x9cHomer The Heretic,\xe2\x80\x9d \xe2\x80\x9cItchy & Scratchy: The Movie\xe2\x80\x9d and \xe2\x80\x9cMr. Plow\xe2\x80\x9d are, but even the relatively unheralded episodes offer wall-to-wall laughs and some of the smartest, darkest, and weirdest gags ever Trojan-horsed into a network cartoon with a massive family audience.\n2012 May 20,  Nathan Rabin,  \xe2\x80\x9cTV: Review: THE SIMPSONS (CLASSIC): \xe2\x80\x9cMarge Gets A Job\xe2\x80\x9d (season 4, episode 7; originally aired 11/05/1992)\xe2\x80\x9d, in  The Onion AV Club\xe2\x80\x8e[1]:We all know how genius \xe2\x80\x9cKamp Krusty,\xe2\x80\x9d \xe2\x80\x9cA Streetcar Named Marge,\xe2\x80\x9d \xe2\x80\x9cHomer The Heretic,\xe2\x80\x9d \xe2\x80\x9cItchy & Scratchy: The Movie\xe2\x80\x9d and \xe2\x80\x9cMr. Plow\xe2\x80\x9d are, but even the relatively unheralded episodes offer wall-to-wall laughs and some of the smartest, darkest, and weirdest gags ever Trojan-horsed into a network cartoon with a massive family audience.\nA convulsion of the upper digestive tract.\n(archaic) A mouthful that makes one retch or choke.1913,  Webster,  Webster\'s revised unabridged dictionary of the English language:""a gag of mutton fat"" --Lamb\n1913,  Webster,  Webster\'s revised unabridged dictionary of the English language:""a gag of mutton fat"" --Lamb'"
Gail,
Gail's,
gain,A gain is the act of getting something.
gal,A gal is a girl.
Gale,
galley,"Galley of the Austrian passenger ship S.S. Africa in the Mediterranean Sea about 1905
(nautical) A long, slender ship propelled primarily by oars, whether having masts and sails or not; usually referring to rowed warships used in the Mediterranean from the 16th century until the modern era.
(Britain) A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure.
(nautical) One of the small boats carried by a man-of-war.
(nautical) The cookroom or kitchen and cooking apparatus of a vessel or aircraft; sometimes on merchant vessels called the caboose.
An oblong oven or muffle with a battery of retorts; a gallery furnace.
(printing) An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc.
(printing) A proof sheet taken from type while on a galley; a galley proof.
(heraldry) A representation of a single masted ship propelled by oars, with three flags and a basket."
gallon,"A unit of volume: eight pints, commonly used for measuring gasoline."
gal's,
gamble,"If you gamble, you take a risk."
gambles,The third-person singular form of gamble.
game,A game is something that people do to have fun.
gang,A gang is a group of criminals that work together. These criminals are often called gangsters.
gap,A gap is a difference in the level of two groups.
garden,"A garden is a place where flowers and other plants grow where people want them to. Frequently it is a small place with a wall around it, near a house. It may have rocks and other things in it to look beautiful."
gas,"A gas is a substance, such as air, that is not liquid or solid."
gash,"b'gash (plural gashes)\nA deep cut.2006, New York Times, \xe2\x80\x9cBush Mourns 9/11 at Ground Zero as N.Y. Remembers\xe2\x80\x9d, [1]:Vowing that he was \xe2\x80\x9cnever going to forget the lessons of that day,\xe2\x80\x9d President Bush paid tribute last night to the victims of the Sept. 11, 2001, terrorist attack, laying wreaths at ground zero, attending a prayer service at St. Paul\xe2\x80\x99s Chapel and making a surprise stop at a firehouse and a memorial museum overlooking the vast gash in the ground where the twin towers once stood.\n2006, New York Times, \xe2\x80\x9cBush Mourns 9/11 at Ground Zero as N.Y. Remembers\xe2\x80\x9d, [1]:Vowing that he was \xe2\x80\x9cnever going to forget the lessons of that day,\xe2\x80\x9d President Bush paid tribute last night to the victims of the Sept. 11, 2001, terrorist attack, laying wreaths at ground zero, attending a prayer service at St. Paul\xe2\x80\x99s Chapel and making a surprise stop at a firehouse and a memorial museum overlooking the vast gash in the ground where the twin towers once stood.\n(slang, vulgar) A vulva, pussy1959, William S. Burroughs, Naked Lunch, 50th anniversary edition (2009), p.\xc2\xa0126:\xe2\x80\x9cOh Gertie it\xe2\x80\x99s true. It\xe2\x80\x99s all true. They\xe2\x80\x99ve got a horrid gash instead of a thrilling thing.\xe2\x80\x9d\n1959, William S. Burroughs, Naked Lunch, 50th anniversary edition (2009), p.\xc2\xa0126:\xe2\x80\x9cOh Gertie it\xe2\x80\x99s true. It\xe2\x80\x99s all true. They\xe2\x80\x99ve got a horrid gash instead of a thrilling thing.\xe2\x80\x9d\n(slang, offensive) A woman\n(slang, British Royal Navy) Rubbish, spare kit\n(slang) Rubbish on board an aircraft\n(slang) Unused film or sound during film editing\n(slang) Poor quality beer, usually watered down.'"
gasp,"To gasp is the act of drawing in the breath suddenly, as if surprised."
gasped,The past tense and past participle of gasp.
gate,A gate is like a door in a fence. It opens to let people go through the fence.
gates,The plural form of gate; more than one gate.
